"market","offer_start_date","valid_until","retailer","item","price","offer_link","scraped_at"
"Mexico","2026-05-26","2026-07-21","Tim Hortons Mexico","Cubeta Estadio Timbits + 30 Timbits x $210","MXN 210.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-05-26","2026-07-21","Tim Hortons Mexico","Cubeta Estadio Timbits + 30 Timbits x $325","MXN 325.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-05-26","2026-07-21","Tim Hortons Mexico","Termo Timbits Futbol + Quenchers x $320","MXN 320.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-01-01","2026-08-31","Tim Hortons Mexico","Compra una taza o un termo (exceptuando el Termo Asa, Termo Canada y Termo 64) y te regalamos una bebida fria o caliente chica","","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-03-19","2026-06-30","Tim Hortons Mexico","2 Frappes x $95","MXN 95.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-02-13","2026-12-31","Tim Hortons Mexico","Caramel Macchiato + Dona Clasica x $77","MXN 77.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-03-01","2026-06-30","Tim Hortons Mexico","Cappuccino + Dona x $49","MXN 49.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-03-01","2026-06-30","Tim Hortons Mexico","2 Frappes chicos + Paquete-6 donas Clasicas x $199","MXN 199.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-06-01","2026-06-30","Tim Hortons Mexico","2 Frappes chicos x $89 | Hora Feliz Instore","MXN 89.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-06-23","2026-12-31","Tim Hortons Mexico","Dona Glaseada o Clasica gratis en la compra de un Cafe Mexicano + $5 Pesos","MXN 5.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-06-23","2026-12-31","Tim Hortons Mexico","6-Pack de Donas Clasicas gratis en la compra de un 12-Pack de Donas Clasicas","","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-06-01","2026-06-30","Tim Hortons Mexico","6-Pack Donas Clasicas x $99","MXN 99.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-05-26","2026-07-21","Tim Hortons Mexico","Cubeta Estadio Timbits + 30 Timbits x $210","MXN 210.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2024-12-12","2026-12-31","Tim Hortons Mexico","Compra tu cubeta con 30 Timbits a $210","MXN 210.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2025-01-01","2026-12-31","Tim Hortons Mexico","Descuento Relleno Cubeta","","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Mexico","2026-06-01","2026-06-30","Tim Hortons Mexico","2 Bebidas Frias x $99","MXN 99.00","https://timhortonsmx.com/es/promocionestyc.html","2026-06-24T19:02:04+00:00"
"Saudi Arabia","2026-06-17","2026-06-30","Bin Dawood","Tim Hortons Coffee 300gm","SAR 55.99","https://d4donline.com/en/saudi-arabia/jeddah/offers/bin-dawood-222/732429/jeddah-saudi-arabia-bin-dawood-offers-offer?page=9291951","2026-06-24T19:02:04+00:00"
"Saudi Arabia","2026-06-17","2026-06-30","Danube","Tim Hortons Coffee Assorted 300g","SAR 56.99","https://d4donline.com/en/saudi-arabia/jeddah/offers/danube-74/732435/jeddah-saudi-arabia-danube-offers-offer?page=9292473","2026-06-24T19:02:04+00:00"
"Saudi Arabia","2026-06-17","2026-06-30","Danube","Tim Hortons Coffee Capsules 52g","SAR 23.99","https://d4donline.com/en/saudi-arabia/jeddah/offers/danube-74/732435/jeddah-saudi-arabia-danube-offers-offer?page=9292473","2026-06-24T19:02:04+00:00"
